id,name,phone_code,active,created_at
1,México,+52,t,
2,Estados Unidos,+1,t,
3,España,+34,t,
4,Argentina,+54,t,
5,Colombia,+57,t,
6,Chile,+56,t,
7,Perú,+51,t,
8,Brasil,+55,t,
9,Venezuela,+58,t,
10,Ecuador,+593,t,
11,Guatemala,+502,t,
12,Cuba,+53,t,
13,Bolivia,+591,t,
14,Haití,+509,t,
15,República Dominicana,+1809,t,
16,Honduras,+504,t,
17,Paraguay,+595,t,
18,Nicaragua,+505,t,
19,El Salvador,+503,t,
20,Costa Rica,+506,t,
21,Panamá,+507,t,
22,Uruguay,+598,t,
23,Puerto Rico,+1787,t,
24,Guyana,+592,t,
25,Surinam,+597,t,
26,Belice,+501,t,
27,Guayana Francesa,+594,t,
28,Otro,+000,t,
