code,name,active,created_at
ABUELA,Abuela,t,
ABUELO,Abuelo,t,
AMIGO,Amigo(a),t,
CUÑADA,Cuñada,t,
CUÑADO,Cuñado,t,
ESPOSA,Esposa,t,
ESPOSO,Esposo,t,
HERMANA,Hermana,t,
HERMANO,Hermano,t,
HIJA,Hija,t,
HIJO,Hijo,t,
MADRE,Madre,t,
NIETA,Nieta,t,
NIETO,Nieto,t,
NUERA,Nuera,t,
OTRO,Otro,t,
PADRE,Padre,t,
PAREJA,Pareja / Concubino(a),t,
PRIMA,Prima,t,
PRIMO,Primo,t,
SOBRINA,Sobrina,t,
SOBRINO,Sobrino,t,
SUEGRA,Suegra,t,
SUEGRO,Suegro,t,
TIA,Tía,t,
TIO,Tío,t,
TUTOR,Tutor Legal,t,
VECINO,Vecino(a),t,
YERNO,Yerno,t,
